id,state,postal_code,product,user_id,square_ft,high_risk_dog,has_fire_alarm,has_burglar_alarm,portable_electronics,coast,fire_housing_proximity,previous_policies,user_age,card_type,target
2.49201E+18,NM,87043,ho4,-9.16005E+18,,0,TRUE,TRUE,0,,5,0,39,credit,FALSE
8.86075E+17,WI,53715,ho4,-8.929E+18,,0,TRUE,FALSE,1,30,1,0,19,debit,FALSE
5.52729E+18,WI,53211,ho4,-9.01598E+18,,0,TRUE,FALSE,1,1,1,0,20,debit,TRUE
6.4534E+18,NM,88012,ho4,-9.06003E+18,,0,TRUE,TRUE,1,,1,0,33,debit,FALSE
-8.83639E+18,AR,72116,ho4,-8.80172E+18,,0,FALSE,FALSE,1,,1,0,20,debit,FALSE
2.24867E+18,WI,53593,ho4,-9.00884E+18,,0,FALSE,FALSE,1,30,3,1,23,credit,FALSE
2.94016E+17,RI,2871,ho4,-9.06689E+18,,0,TRUE,FALSE,1,0,4,0,40,credit,FALSE
7.78981E+18,NM,87102,ho4,-9.12443E+18,,0,TRUE,FALSE,1,,1,0,58,debit,FALSE
-8.66367E+18,RI,2908,ho4,-8.95974E+18,,0,FALSE,FALSE,1,10,2,2,19,debit,FALSE
-7.58462E+18,IA,50131,ho4,-9.20302E+18,,0,TRUE,TRUE,1,,3,0,24,debit,FALSE
-4.60395E+18,IA,52233,ho4,-8.93878E+18,,0,TRUE,FALSE,0,,3,2,21,credit,FALSE
6.81389E+18,NM,87106,ho4,-9.15327E+18,,0,TRUE,FALSE,0,,1,0,22,debit,FALSE
5.14347E+18,WI,53703,ho4,-9.09872E+18,,0,TRUE,FALSE,1,30,1,0,20,debit,FALSE
4.50395E+18,IA,52807,ho4,-9.21502E+18,,0,TRUE,FALSE,1,,2,0,35,debit,FALSE
6.04528E+18,CT,6119,ho4,-8.99547E+18,,0,FALSE,FALSE,1,30,2,0,31,credit,FALSE
-2.03031E+18,IA,50014,ho4,-8.80939E+18,,0,FALSE,FALSE,0,,3,0,20,debit,FALSE
-8.01596E+17,IA,52246,ho4,-9.0299E+18,,0,FALSE,FALSE,,,2,0,,debit,FALSE
-6.5375E+18,RI,2871,ho4,-9.15423E+18,,0,TRUE,TRUE,0,2,4,0,44,debit,FALSE
7.01321E+18,NM,87102,ho4,-9.12443E+18,,0,TRUE,FALSE,1,,1,1,58,debit,FALSE
4.5444E+18,RI,2911,ho4,-8.84016E+18,,0,TRUE,FALSE,0,15,1,0,39,debit,FALSE
4.93302E+18,WI,53129,ho4,-9.00921E+18,,0,TRUE,FALSE,1,10,4,0,22,debit,FALSE
-3.62164E+18,CT,6410,ho4,-9.19098E+18,,0,TRUE,FALSE,1,20,4,0,41,credit,FALSE
1.26361E+18,NM,87111,ho4,-9.04532E+18,,0,TRUE,FALSE,1,,1,0,32,debit,FALSE
3.78637E+18,WI,53593,ho4,-9.00884E+18,,0,FALSE,FALSE,1,30,3,0,23,credit,FALSE
-6.63326E+18,RI,2864,ho4,-8.82801E+18,,0,TRUE,FALSE,1,15,3,0,33,credit,FALSE
6.36174E+18,AR,72701,ho4,-8.99078E+18,,0,TRUE,TRUE,0,,1,0,19,credit,FALSE
-2.30273E+18,NM,87507,ho4,-9.14624E+18,,0,TRUE,FALSE,0,,2,0,24,debit,FALSE
-9.85595E+17,IA,52246,ho4,-9.14753E+18,,0,TRUE,FALSE,1,,2,0,24,debit,FALSE
2.0474E+18,WI,53703,ho4,-9.18483E+18,,0,TRUE,FALSE,0,30,1,0,20,debit,FALSE
1.59453E+17,IA,50014,ho4,-9.10338E+18,,0,TRUE,FALSE,0,,3,0,19,debit,FALSE
-4.7518E+18,WI,53703,ho4,-8.91173E+18,,0,TRUE,FALSE,1,30,1,0,21,debit,FALSE
8.37011E+18,RI,2903,ho4,-9.16682E+18,,0,TRUE,FALSE,1,10,2,0,23,debit,FALSE
-1.77025E+18,NM,87544,ho4,-8.8712E+18,,0,TRUE,FALSE,1,,2,0,41,credit,FALSE
-1.17151E+18,NM,87106,ho4,-8.86603E+18,,0,FALSE,FALSE,1,,1,1,23,debit,FALSE
3.20405E+18,NM,87102,ho4,-8.86603E+18,,0,FALSE,FALSE,1,,1,0,23,debit,FALSE
-8.95507E+18,CT,6902,ho4,-9.03119E+18,,0,TRUE,FALSE,1,0,3,0,51,debit,FALSE
5.63515E+18,RI,2919,ho4,-9.20005E+18,,0,TRUE,TRUE,0,15,3,0,50,debit,FALSE
-6.81237E+18,RI,2916,ho4,-9.15745E+18,,0,TRUE,FALSE,1,10,2,0,23,credit,FALSE
-2.11666E+18,RI,2906,ho4,-9.1056E+18,,0,TRUE,TRUE,1,10,2,0,31,credit,FALSE
-6.98999E+18,IA,50324,ho4,-8.81323E+18,,0,TRUE,FALSE,1,,3,0,22,credit,FALSE
-6.36E+18,IA,50309,ho4,-9.19802E+18,,0,TRUE,FALSE,1,,2,0,31,debit,FALSE
-1.8765E+17,CT,6339,ho4,-9.17614E+18,,0,TRUE,TRUE,1,10,5,0,47,debit,FALSE
-1.23132E+18,NM,87108,ho4,-9.0661E+18,,0,TRUE,FALSE,1,,1,0,34,credit,FALSE
-8.1739E+17,WI,53151,ho4,-9.21036E+18,,0,TRUE,FALSE,1,15,3,0,48,debit,FALSE
6.59552E+18,WI,53110,ho4,-9.19109E+18,,0,TRUE,FALSE,1,5,3,0,34,debit,FALSE
2.49259E+18,CT,6851,ho4,-9.2183E+18,,0,TRUE,TRUE,1,2,3,0,27,credit,FALSE
9.15412E+18,WI,53932,ho4,-9.00625E+18,,0,TRUE,FALSE,1,30,4,0,30,debit,FALSE
-5.39713E+18,WI,53188,ho4,-9.20519E+18,,0,TRUE,FALSE,0,20,2,0,63,credit,FALSE
-6.50119E+18,AR,72364,ho4,-9.06823E+18,,0,TRUE,FALSE,0,,3,1,28,debit,FALSE
-2.49788E+18,IA,50021,ho4,-9.10831E+18,,0,FALSE,FALSE,1,,3,0,22,credit,FALSE
3.17255E+18,NM,88005,ho4,-8.82673E+18,,0,TRUE,FALSE,1,,1,0,45,debit,FALSE
